"course_code","course_title","instructor","semester","content_rating","teaching_rating","grading_rating","workload_rating","assessments","content_text","teaching_text","grading_text","workload_text","last_updated"
"ELEC3120","Computer Networks","MENG, Zili","2023-24 Fall","A","A","A","B","Mid-term Exam:✓,Final Exam:✓,Assignment:✓,Attendance:✕,Quiz:✕,Project:✓,Essay:✕,Presentation:✕,Reading Material:✕","The course material is based on CMU lecture notes, though I’m not sure the CMU lecture videos would help much. He was a TA there a few years back, so the style here feels a bit different.\n\nYou’ll go through all the layers of networking, from the physical layer up to the application layer. The big focus is on TCP, and you’ll actually have to implement it from scratch, which is where most of the heavy lifting happens.","I’d say he’s basically the Desmond of ECE. He’s got that same passion for teaching that makes you feel like he actually cares, which is more than I can say for quite a few other profs here (yes especially you kty).\n\nI don’t know if he lives inside his outlook inbox or what, but whenever you email him, you’ll almost always get a reply within five minutes on a normal school day. Even on weekends, he’ll usually get back to you within an hour.\n\nHe’s super willing to chat and actually gives useful insights, unlike some professors who just forward your email to the TAs.\n\nProject 1 was kind of a pain, but he didn’t leave us hanging. Right before the CP1 deadline, a bunch of us camped out in his office...","HW1 35.2/43\nHW2 36.25/59\nHW3 24.5/46\nHW4 51/70\n\nMT 85.25/110\nFN 80/101\n\nProject 0 32/32\nProject 1 CP1 89.1/110\nProject 1 CP2 32.5/80\n\nB+","Project 0 was basically free marks. All you had to do was leave your computer on for 24 hours...\n\nMost of the coursework can be wrapped up in under two hours, except for Project 1. That one takes way longer...\n\nProject 1 is no joke, you have to implement the entire TCP stack... For Fall 2024, though, he promised to drop the handshake requirement and simplify a few sections.","April 2026"
"ELEC3130","Digital Image Processing","WANG, Yiwen","2024-25 Spring","A","C","A","C","Mid-term Exam:✓,Final Exam:✕,Assignment:✓,Attendance:✕,Quiz:✕,Project:✓,Essay:✕,Presentation:✓,Reading Material:✕","Week 1-13 topics: Introduction, Transforms (Fourier, Sampling), Morphological Processing, Image Enhancement (Spatial & Frequency), Restoration (filters), Color Processing, Compression, Predictive Coding, Segmentation, Object Recognition, Face Detection (Eigenface, LDA). Math-heavy but very fruitful.","Prof. Wang explains clearly and reminds students of important notes. TAs are helpful but sometimes not fully familiar with the content.","HW 20% (3 assignments), Midterm 30%, Final Project 50% (20% Presentation + 30% Report). Student scored A+ (strong HW + Midterm).","Moderate-to-heavy workload. 3 HWs (some complex MATLAB parts) + group final project (3-5 people, requires code submission). Need to plan time well.","April 2026"
"ELEC3200","System Modeling, Analysis and Control","SHEN, Yajing","2023-24 Spring","B","B","C","B","Mid-term Exam:✓,Final Exam:✓,Assignment:✓,Attendance:✕,Quiz:✕,Project:✕,Essay:✕,Presentation:✕,Reading Material:✕","Very math-oriented course covering state-space concepts, modeling, linearization, Laplace transform, transfer functions, block diagrams, stability (Routh criterion, pole placement), root locus, feedback control, PID, etc. Exams are generally easier than homework problems.","Prof. Shen explains concepts clearly and is responsive to questions after lectures and via email. First time teaching the course but did well.","HW 20% (4 assignments), Midterm 30% (open book), Final 50% (open book), Optional Labs 5% (bonus). Average UST grading. Student scored A (Midterm 80/100, Final 90/100).","Light workload for a 4-credit course. Main effort is on 4 homeworks (can be tedious with calculations). Exams are open book; bring laptop + online calculators.","April 2026"
"ELEC3300","Introduction to Embedded Systems","WOO, Kam Tim","2022-23 Fall","E","B","D","E","Mid-term Exam:✕,Final Exam:✕,Assignment:✓,Attendance:✓,Quiz:✕,Project:✓,Essay:✕,Presentation:✕,Reading Material:✕","Lectures focus mostly on concepts with limited practical guidance. Students must figure out most implementation themselves in labs. The final group project is extremely demanding, stressful, and the main pain point of the course.","Prof. Woo is nice but lectures are boring. Main TA explains labs and project reasonably well but has very high standards for creativity and complexity.","IPRS 8%, Assignments 10%, Labs 18%, Project 64% (proposal, interim demo, final demo & presentation, report). Project grading is very harsh.","Extremely heavy workload dominated by the final project. Requires significant time, creativity, hardware knowledge, debugging, and often extra money for components. Many students (especially beginners) find it overwhelming.","April 2026"
"ELEC3310","Digital Fundamentals and System Design","YOBAS, Levent; TANG TANG, Raymundo Saijong","2020-21 Fall","A","A","A","A","Mid-term Exam:✓,Final Exam:✓,Assignment:✓,Attendance:✓,Quiz:✕,Project:✓,Essay:✕,Presentation:✕,Reading Material:✕","Revamped version of ELEC2200. Uses Vivado Design Suite + Basys 3 Artix-7 FPGA Board.\n\nCovers: Introductory concepts, Boolean algebra, Combinational logic (adders, MUX/DEMUX, etc.), Sequential logic (latches, flip-flops), Finite State Machines (Mealy/Moore, counters, sequence detectors).","Prof. Yobas explains thoroughly in small class. TA does great job reviewing VHDL syntax and lab assignments.","Attendance + extra points, short homeworks, 7 lab assignments, Midterm exam, Final exam, Miniproject.","Not heavy workload. Must attend all lab sessions or you fail. Skeleton VHDL codes provided. Do labs in advance because Vivado synthesis/implementation takes time.","April 2026"
"ELEC3400","Introduction to Integrated Circuits and Systems","LUONG, Howard Cam","2021-22 Spring","B","A","A","C","Mid-term Exam:✓,Final Exam:✕,Assignment:✓,Attendance:✓,Quiz:✕,Project:✓,Essay:✕,Presentation:✕,Reading Material:✕","Covers IC industry overview, Diodes, BJT & MOSFET transistors, small signal analysis, single/multi-stage amplifiers, differential amplifiers. Uses Hspice for simulation. Requires strong KCL/KVL and ELEC2400 background.","Prof. Luong explains clearly with good pace and repeats key points. Reminds students of admin matters regularly.","5 HW 10% (4 counted), Class participation 5%, 3 Labs 20%, Midterm 25%, Final Project 40%. Student scored A+ with strong performance.","Heavy workload. HWs involve hand calculations + Hspice simulation. Final group project requires designing a differential amplifier from scratch. Labs require prelab and report.","April 2026"
"ELEC3500","Integrated Circuit Devices","SHAO, Qiming; CHAN, Mansun","2024-25 Fall","B","B","B","D","Mid-term Exam:✕,Final Exam:✓,Assignment:✓,Attendance:✓,Quiz:✓,Project:✕,Essay:✕,Presentation:✕,Reading Material:✕","Basics of semiconductor, diodes, MOSFET, small signal analysis, amplifiers etc. Blended learning with pre-lecture videos. Content is conceptual and somewhat abstract.","Blended learning with pre-lecture videos (good animations but quite condensed). Prof. Shao explains well during revision and solution discussions.","5 HW 10%, Labs, Pre-lecture quizzes, Biweekly quizzes, iPRs, Final exam. +10% bonus for completing daily components. Student scored A- (75 overall).","Workload depends on goal. Light if just passing, but quite heavy if aiming for good grade (pre-lecture videos, tricky quizzes, HW, labs).","April 2026"
"ELEC3600","Electromagnetics: From Wireless to Photonic Applications","POON, Andrew Wing On","2020-21 Spring","A","A","A","C","Mid-term Exam:✕,Final Exam:✕,Assignment:✓,Attendance:✕,Quiz:✓,Project:✓,Essay:✕,Presentation:✕,Reading Material:✕","Foundational EE course covering vector algebra/calculus, electrostatics, magnetostatics, Maxwell’s equations, EM wave propagation, transmission lines etc. Very important for EE masters/PhD, IC design, microelectronics or photonics. Calculus-heavy (choosing best integrals and coordinates).","Prof. Poon explains in great detail and is very patient. Repeats parts if students don’t understand and gives long, detailed email replies.","80% Homework (8 assignments), 20% Quizzes (4 quizzes), 15% optional project (bonus). Student scored 91% → A.","Manageable workload. No midterm or final exam. Revise weekly and do the assignments (they force you to review the material).","April 2026"
"ELEC3810","Data Science for Neural Engineering","WANG, Yiwen","2023-24 Spring","A","A","A","B","Mid-term Exam:✓,Final Exam:✕,Assignment:✓,Attendance:✕,Quiz:✕,Project:✓,Essay:✕,Presentation:✕,Reading Material:✕","Probability & statistics, statistical detection/estimation, random processes, neural signals, encoding/decoding, population coding, neural networks, supervised & reinforcement learning, neural prosthesis & rehabilitation.","Prof. Wang explains concepts very clearly and ties together math, neuroscience and machine learning effectively.","4 Homework assignments 20%, Midterm 30%, Final Project 50%. HWs are manageable (can finish in one evening each). Midterm very similar to HW1/HW2.","Manageable workload. HWs are straightforward. Final project is reasonable with good planning.","April 2026"
"ELEC4010T","Business for Electronic Engineers","WONG, Kai Sun Albert; CHOW, Cupid","2024-25 Fall","A","A","A","A","Mid-term Exam:✕,Final Exam:✓,Assignment:✓,Attendance:✕,Quiz:✕,Project:✕,Essay:✕,Presentation:✕,Reading Material:✕","Basic business concepts for engineers: accounting, management, supply chain, marketing, financial statements, options/interest/futures. Very easy (like simplified DSE Econ).","Prof. Wong and Cupid teach clearly. Lectures are straightforward (mostly reading slides with some stories).","20% In-class exercises, 30% 4 Assignments, 50% Final exam (open-book with restrictions). Grading is lenient.","Light workload. 4 easy assignments + one final exam. No heavy project or labs.","April 2026"
"ELEC4110","Digital Communications and Wireless Systems","LAU, Vincent Kin Nang","2024-25 Fall","B","E","D","A","Mid-term Exam:✓,Final Exam:✓,Assignment:✓,Attendance:✕,Quiz:✕,Project:✓,Essay:✕,Presentation:✕,Reading Material:✕","Builds on ELEC3100. Covers M-ary modulation, signal space, wireless channels, small-scale fading, diversity techniques, ISI mitigation, resource partitioning (FDMA/TDMA/CDMA), 5G and beyond.","Prof. Lau teaches excellently with clear explanations. TAs (Miss Zhuang and Mr Zhai) are extremely poor — irresponsible, bad teaching, terrible course management (delayed grading, marking errors, sudden deadline changes).","3 Assignments 15%, Project 10%, Midterm 25%, Final 50%. Grading can feel inconsistent/unfair due to TA issues.","Manageable workload. 3 HW + group project (can use AI). Midterm and final are the main challenges.","April 2026"
"ELEC4220","Robotics: Modeling, Control and Planning","ZHANG, Fumin","2025-26 Fall","A","B","A","A","Mid-term Exam:✓,Final Exam:✓,Assignment:✓,Attendance:✕,Quiz:✕,Project:✕,Essay:✕,Presentation:✕,Reading Material:✕","Introduction to robot anatomy, kinematics (forward & inverse), reactive behaviors, motion planning, robot components. Labs on robot arm (RoArm-M1) and quadruped robot (Mangdang Mini Pupper). Open-book exams with questions very similar to practice.","Prof. Zhang teaches clearly with good English accent.","Midterm 30%, Homework 25% (4 sets, best 3 count), Lab 15%, Final 30%. Homework and labs are easy to get full marks.","Light workload. One lecture per week, easy group lab reports, manageable assignments.","April 2026"
"ELEC4240","Deep Learning in Computer Vision","CHEN, Qifeng","2025-26 Fall","C","C","C","C","Mid-term Exam:✓,Final Exam:✕,Assignment:✓,Attendance:✕,Quiz:✕,Project:✓,Essay:✕,Presentation:✓,Reading Material:✕","Basically a copy of Stanford CS231N. Covers convolutional networks, object detection, segmentation, GANs, diffusion models etc. Faster pace than COMP4211, includes more advanced architectures. Some weeks had guest lectures / PhD talks.","Prof. Chen is knowledgeable but lectures are dry (9am slot + mostly reading slides). Many students sleep or skip. Better to supplement with Stanford CS231N YouTube videos (new and old versions).","3 Programming Assignments (PAs), Midterm exam, Final Project (3 reports + presentation). Most people get full marks on PAs. Midterm is a big differentiator (mean ~55).","Moderate to heavy workload. 3 PAs (skeleton code provided, 1-2 days each if just completing, longer if learning deeply) + project with LaTeX reports.","April 2026"
"ELEC4320","FPGA-based Design: From Theory to Practice","ZHANG, Wei","2019-20 Fall","B","B","B","B","Mid-term Exam:✓,Final Exam:✕,Assignment:✓,Attendance:✕,Quiz:✕,Project:✓,Essay:✕,Presentation:✕,Reading Material:✕","4 Labs + 3 HWs + Project (Midterm cancelled this semester). Labs require filling in Verilog code; last two labs quite difficult. Project needs proposal + report.","Lectures a bit boring (professor spends time on single slides) but she kindly answers questions. Learn most during lab sessions if you have basic FPGA knowledge.","Typical ELEC grading, mean around B.","Moderate workload. Time-consuming labs (especially if new to Verilog), homeworks, and project report.","April 2026"
"ELEC4420","Analogue Integrated Circuits Design and Analysis","ZHANG, Yihan","2024-25 Fall","A","A","A","A","Mid-term Exam:✓,Final Exam:✕,Assignment:✓,Attendance:✕,Quiz:✕,Project:✓,Essay:✕,Presentation:✕,Reading Material:✕","Covers chapters 1-6, 8-10 of Razavi’s book: frequency response, feedback, operational amplifiers, compensation etc.","Prof. Zhang teaches excellently with clear derivations on whiteboard. Lectures are important to attend.","20% Homework (3 assignments), 30% Midterm, 50% Project. Good grading; A+ for top 3 projects.","Light workload for a 4-credit course. Assignments take about 1 day each. Project uses Cadence Virtuoso.","April 2026"
"ELEC4430","Integrated Power Electronics","MAN, Tsz Yin","2022-23 Spring","B","A","A","A","Mid-term Exam:✕,Final Exam:✓,Assignment:✓,Attendance:✕,Quiz:✕,Project:✓,Essay:✕,Presentation:✕,Reading Material:✕","Power Computation, Rectifier, Switch Mode Power Converters (DC-DC), basic Control and Feedback, Magnetism. Content is relatively light/not very deep.","Prof. Man explains clearly and is willing to help students.","3 Assignments 12%, Project 1 22%, Project 2 26%, Final Exam 40%. Most people score high on assignments and projects. Final exam mean ~47/100.","Easy assignments and projects. Final exam is closed book. No laboratory sessions.","April 2026"
"ELEC4610","Engineering Optics","QU, Jianan","2023-24 Spring","A","A","A","B","Mid-term Exam:✓,Final Exam:✓,Assignment:✓,Attendance:✕,Quiz:✕,Project:✕,Essay:✕,Presentation:✕,Reading Material:✕","Covers geometrical optics, lenses, aberrations, physical optics, wave theory, diffraction, interference, polarization, optical instruments (cameras, microscopes, telescopes). Interesting introductory optics course.","Prof. Qu explains clearly. No lecture recordings — attendance is encouraged.","15% HW, 15% Lab reports, 20% Midterm, 50% Final. Student scored A+ (HW 93.6%, Lab 96.83%, Midterm 82.5%, Final 97%).","Very light workload. Attend lectures, complete HW and lab reports. Exams are straightforward with cheetsheet allowed for some proofs.","April 2026"
"ELEC4620","Photonics and Optical Communications","POON, Andrew Wing On","2023-24 Fall","A","A","A","D","Mid-term Exam:✕,Final Exam:✓,Assignment:✓,Attendance:✕,Quiz:✕,Project:✕,Essay:✓,Presentation:✓,Reading Material:✕","Optoelectronics and fiber optics for communications: optical fibers, sources, detectors, passive components for WDM. Hands-on labs building wavelength-division-multiplexed optical links.","Prof. Poon is extremely nice, patient, and one of the best teachers in ECE.","6 HW 30%, 6 Labs 24%, Project (term paper 10% + presentation 6%) 16%, Final exam 30%.","Heavy workload ('NO PAIN, NO GAIN'). Frequent HW, long labs (full 3 hours), term paper + final exam.","April 2026"
"ELEC4810","Introduction to Biosensors and Bioinstrumentation","QU, Jianan","2023-24 Fall","B","D","B","C","Mid-term Exam:✓,Final Exam:✓,Assignment:✓,Attendance:✕,Quiz:✕,Project:✕,Essay:✕,Presentation:✕,Reading Material:✓","Heavy on biology + electronics: biopotentials (ECG/EMG/EEG), blood pressure/flow, respiratory monitors (capnography, oximetry), clinical chemistry, integrated biosensors. Includes circuit design for biosignal measurement.","Prof. Qu's teaching is boring and not engaging if you are not interested in biology + electronics.","Homework, labs (strict grading on reports), Midterm, Final. Student scored B.","Quite heavy workload at the beginning (weekly HW + labs + prelabs). Later HW becomes meaningless. Final exam requires good understanding of circuits.","April 2026"
"ELEC4820","Medical Imaging","YU, Weichuan","2021-22 Fall","B","D","A","A","Mid-term Exam:✓,Final Exam:✓,Assignment:✓,Attendance:✓,Quiz:✓,Project:✕,Essay:✕,Presentation:✕,Reading Material:✓","Basic principles of medical imaging modalities: X-ray projection, CT, SPECT/PET, ultrasound, MRI + some application examples. Heavy on math (geometry, linear algebra, calculus, signals & systems, Fourier Transform).","Blended learning style: self-study material beforehand + weekly discussion class. Professor and TAs are nice but many students get lost when studying alone.","10% Homework, 10% Online quiz, 10% Attendance & discussion participation, 30% Mid-term, 40% Final. Bonus points for answering discussion questions.","Very light workload. Easy weekly quiz, several assignments (many from reference book), optional discussion questions for bonus.","April 2026"
"ELEC4840","Artificial Intelligence for Medical Image Analysis","LI, Xiaomeng","2024-25 Spring","A","A","A","A","Mid-term Exam:✕,Final Exam:✕,Assignment:✓,Attendance:✕,Quiz:✕,Project:✓,Essay:✕,Presentation:✕,Reading Material:✕","Deep learning for medical image analysis: classification, detection, segmentation, 3D/multi-modality images, retinal, ultrasound, pathology etc. Covers DNN fundamentals and advanced topics (self-supervised learning, generative modeling, vision foundation models). Similar to Stanford CS231N but focused on medical applications.","Very good teaching.","3 Assignments + Final Project. Student scored A- (high marks on assignments and 92.5/100 on project).","Hard assignments but overall manageable workload.","April 2026"
"COMP1021","Introduction to Computer Science","LAM, Gibson","2016-17 Fall","A","A","C","B","Mid-term Exam:✓,Final Exam:✓,Assignment:✓,Attendance:✕,Quiz:✕,Project:✕,Essay:✕,Presentation:✕,Reading Material:✕","Introductory programming using Python 3 + PyGame. Covers basics, control flow, functions, arrays, recursion, data structures (list, tuple, dict), Turtle graphics, object-oriented programming, file I/O.","Prof. Gibson Lam teaches clearly with good examples. Lectures are useful and the course website is well-organized.","Midterm 20%, Final 40%, Assignments 40% (Music System + Game Project). Grading is fair but assignments require effort.","Manageable workload for an introductory course. Labs are not graded, but assignments (especially the game project) take time. No heavy project or presentation.","April 2026"
"COMP2011","Programming with C++","YU, Weichuan; CHATZOPOULOS, Dimitrios","2021-22 Fall","B","A","A","A","Mid-term Exam:✕,Final Exam:✓,Assignment:✓,Attendance:✕,Quiz:✓,Project:✕,Essay:✕,Presentation:✕,Reading Material:✕","Comprehensive C++ course: basics, control flow, functions, arrays, recursion, pointers, dynamic memory, linked lists, binary trees, classes, stack/queue. Very strong foundation if you have no prior C++ experience.","Both instructors are excellent. Gary builds solid understanding; Chatzopoulos gives lots of practice. Lectures are highly recommended.","Labs 10%, Programming Assignments 37%, Quiz 8%, Final Exam 45%. Exams are tough but fair if you understand the material.","Heavy workload if new to C++. Labs and 3 Programming Assignments (PA1–PA3) take significant time, especially recursion, pointers, linked lists, and trees.","April 2026"
